scenario_id,tier,verdict,status,steps_used,prompt,expected_answer,agent_answer,required_source,cited_sources,reason_summary,open_coding_first_failure,axial_failure_mode,coding_notes
s-0071,T2,PASS,answered,12,Step 1: What is the internal codename of Verdigris Foundry? Step 2: The organization holding internal codename from Step 1 is affiliated with a partner organization. What is the archival reference of that partner organization? Step 3: The organization holding archival reference from Step 2 is affiliated with a partner organization. What is the headquarters district of that partner organization? Provide the final answer for Step 3.,Yolk-4198,Yolk-4198,doc-0039,doc-0039,,,,
s-0072,T2,FAIL,model_failure,12,Step 1: Which firm is the external auditor of Xebec Works? Step 2: The organization holding external auditor from Step 1 is affiliated with a partner organization. What is the external auditor of that partner organization? Step 3: The organization holding external auditor from Step 2 is affiliated with a partner organization. What is the archival reference of that partner organization? Provide the final answer for Step 3.,Lumen-4210,,doc-0042,,Model failure: litellm.RateLimitError: RateLimitError: OpenAIException - Too Many Requests,,,
s-0073,T2,FAIL,model_failure,12,Step 1: What is the archival reference of Marrow Foundry? Step 2: The organization holding archival reference from Step 1 is affiliated with a partner organization. What is the flagship product of that partner organization? Step 3: The organization holding flagship product from Step 2 is affiliated with a partner organization. What is the headquarters district of that partner organization? Provide the final answer for Step 3.,Onyx-4238,,doc-0047,,Model failure: litellm.RateLimitError: RateLimitError: OpenAIException - Too Many Requests,,,
s-0074,T2,FAIL,step_cap,12,Step 1: What is the internal codename of Zephyr Foundry? Step 2: The organization holding internal codename from Step 1 is affiliated with a partner organization. What is the external auditor of that partner organization? Step 3: The organization holding external auditor from Step 2 is affiliated with a partner organization. What is the internal codename of that partner organization? Provide the final answer for Step 3.,Ultra-4244,,doc-0048,,Step cap reached,,,
s-0075,T2,FAIL,model_failure,4,Step 1: What is the archival reference of Kestrel Works? Step 2: The organization holding archival reference from Step 1 is affiliated with a partner organization. What is the headquarters district of that partner organization? Step 3: The organization holding headquarters district from Step 2 is affiliated with a partner organization. What is the headquarters district of that partner organization? Provide the final answer for Step 3.,Onyx-4263,,doc-0052,,Model failure: litellm.RateLimitError: RateLimitError: OpenAIException - Too Many Requests,,,
s-0076,T2,FAIL,model_failure,1,Step 1: What is the archival reference of Halcyon Union? Step 2: The organization holding archival reference from Step 1 is affiliated with a partner organization. What is the flagship product of that partner organization? Step 3: The organization holding flagship product from Step 2 is affiliated with a partner organization. What is the flagship product of that partner organization? Provide the final answer for Step 3.,Xeno-4272,,doc-0054,,Model failure: litellm.RateLimitError: RateLimitError: OpenAIException - Too Many Requests,,,
s-0077,T2,FAIL,step_cap,12,Step 1: What is the flagship product of Ember Systems? Step 2: The organization holding flagship product from Step 1 is affiliated with a partner organization. What is the flagship product of that partner organization? Step 3: The organization holding flagship product from Step 2 is affiliated with a partner organization. What is the archival reference of that partner organization? Provide the final answer for Step 3.,Lumen-4285,,doc-0057,,Step cap reached,,,
s-0078,T2,FAIL,malformed,9,Step 1: What is the flagship product of Dovetail Works? Step 2: The organization holding flagship product from Step 1 is affiliated with a partner organization. What is the flagship product of that partner organization? Step 3: The organization holding flagship product from Step 2 is affiliated with a partner organization. What is the flagship product of that partner organization? Provide the final answer for Step 3.,Nyx-4312,,doc-0062,,Malformed model output: missing answer and tool call,,,
s-0079,T2,FAIL,step_cap,12,Step 1: In which district is Cinder Collective headquartered? Step 2: The organization holding headquarters district from Step 1 is affiliated with a partner organization. What is the flagship product of that partner organization? Step 3: The organization holding flagship product from Step 2 is affiliated with a partner organization. What is the flagship product of that partner organization? Provide the final answer for Step 3.,Sable-4317,,doc-0063,,Step cap reached,,,
s-0080,T2,FAIL,step_cap,12,Step 1: In which district is Ironwood Systems headquartered? Step 2: The organization holding headquarters district from Step 1 is affiliated with a partner organization. What is the internal codename of that partner organization? Step 3: The organization holding internal codename from Step 2 is affiliated with a partner organization. What is the headquarters district of that partner organization? Provide the final answer for Step 3.,Onyx-4338,,doc-0067,,Step cap reached,,,
s-0081,T2,FAIL,step_cap,12,Step 1: In which district is Juniper Collective headquartered? Step 2: The organization holding headquarters district from Step 1 is affiliated with a partner organization. What is the archival reference of that partner organization? Step 3: The organization holding archival reference from Step 2 is affiliated with a partner organization. What is the archival reference of that partner organization? Provide the final answer for Step 3.,Vellum-4345,,doc-0069,,Step cap reached,,,
s-0082,T2,FAIL,model_failure,2,Step 1: What is the archival reference of Quill Labs? Step 2: The organization holding archival reference from Step 1 is affiliated with a partner organization. What is the headquarters district of that partner organization? Step 3: The organization holding headquarters district from Step 2 is affiliated with a partner organization. What is the headquarters district of that partner organization? Provide the final answer for Step 3.,Onyx-4363,,doc-0072,,Model failure: litellm.RateLimitError: RateLimitError: OpenAIException - Too Many Requests,,,
s-0083,T2,FAIL,model_failure,2,Step 1: What is the archival reference of Ember Foundry? Step 2: The organization holding archival reference from Step 1 is affiliated with a partner organization. What is the flagship product of that partner organization? Step 3: The organization holding flagship product from Step 2 is affiliated with a partner organization. What is the flagship product of that partner organization? Provide the final answer for Step 3.,Nyx-4387,,doc-0077,,Model failure: litellm.RateLimitError: RateLimitError: OpenAIException - Too Many Requests,,,
s-0084,T2,FAIL,model_failure,2,Step 1: Which firm is the external auditor of Cinder Systems? Step 2: The organization holding external auditor from Step 1 is affiliated with a partner organization. What is the internal codename of that partner organization? Step 3: The organization holding internal codename from Step 2 is affiliated with a partner organization. What is the headquarters district of that partner organization? Provide the final answer for Step 3.,Talc-4393,,doc-0078,,Model failure: litellm.RateLimitError: RateLimitError: OpenAIException - Too Many Requests,,,
s-0085,T2,FAIL,model_failure,1,Step 1: In which district is Peregrine Systems headquartered? Step 2: The organization holding headquarters district from Step 1 is affiliated with a partner organization. What is the internal codename of that partner organization? Step 3: The organization holding internal codename from Step 2 is affiliated with a partner organization. What is the flagship product of that partner organization? Provide the final answer for Step 3.,Nyx-4412,,doc-0082,,Model failure: litellm.RateLimitError: RateLimitError: OpenAIException - Too Many Requests,,,
s-0086,T2,FAIL,model_failure,1,Step 1: What is the internal codename of Willow Foundry? Step 2: The organization holding internal codename from Step 1 is affiliated with a partner organization. What is the flagship product of that partner organization? Step 3: The organization holding flagship product from Step 2 is affiliated with a partner organization. What is the external auditor of that partner organization? Provide the final answer for Step 3.,Wisp-4421,,doc-0084,,Model failure: litellm.RateLimitError: RateLimitError: OpenAIException - Too Many Requests,,,
s-0087,T2,FAIL,step_cap,12,Step 1: What is the archival reference of Solace Works? Step 2: The organization holding archival reference from Step 1 is affiliated with a partner organization. What is the headquarters district of that partner organization? Step 3: The organization holding headquarters district from Step 2 is affiliated with a partner organization. What is the external auditor of that partner organization? Provide the final answer for Step 3.,Mica-4436,,doc-0087,,Step cap reached,,,
s-0088,T2,FAIL,model_failure,12,Step 1: Which firm is the external auditor of Peregrine Works? Step 2: The organization holding external auditor from Step 1 is affiliated with a partner organization. What is the internal codename of that partner organization? Step 3: The organization holding internal codename from Step 2 is affiliated with a partner organization. What is the flagship product of that partner organization? Provide the final answer for Step 3.,Nyx-4462,,doc-0092,,Model failure: litellm.RateLimitError: RateLimitError: OpenAIException - Too Many Requests,,,
s-0089,T2,FAIL,model_failure,11,Step 1: In which district is Girona Labs headquartered? Step 2: The organization holding headquarters district from Step 1 is affiliated with a partner organization. What is the archival reference of that partner organization? Step 3: The organization holding archival reference from Step 2 is affiliated with a partner organization. What is the headquarters district of that partner organization? Provide the final answer for Step 3.,Talc-4468,,doc-0093,,Model failure: litellm.RateLimitError: RateLimitError: OpenAIException - Too Many Requests,,,
s-0090,T2,FAIL,model_failure,12,Step 1: Which firm is the external auditor of Nimbus Foundry? Step 2: The organization holding external auditor from Step 1 is affiliated with a partner organization. What is the flagship product of that partner organization? Step 3: The organization holding flagship product from Step 2 is affiliated with a partner organization. What is the flagship product of that partner organization? Provide the final answer for Step 3.,Nyx-4487,,doc-0097,,Model failure: litellm.RateLimitError: RateLimitError: OpenAIException - Too Many Requests,,,
s-0091,T2,FAIL,step_cap,12,Step 1: What is the flagship product of Girona Systems? Step 2: The organization holding flagship product from Step 1 is affiliated with a partner organization. What is the external auditor of that partner organization? Step 3: The organization holding external auditor from Step 2 is affiliated with a partner organization. What is the external auditor of that partner organization? Provide the final answer for Step 3.,Wisp-4496,,doc-0099,,Step cap reached,,,
s-0092,T2,FAIL,model_failure,4,Step 1: What is the archival reference of Zephyr Systems? Step 2: The organization holding archival reference from Step 1 is affiliated with a partner organization. What is the archival reference of that partner organization? Step 3: The organization holding archival reference from Step 2 is affiliated with a partner organization. What is the external auditor of that partner organization? Provide the final answer for Step 3.,Mica-4511,,doc-0102,,Model failure: litellm.RateLimitError: RateLimitError: OpenAIException - Too Many Requests,,,
s-0093,T2,FAIL,model_failure,2,Step 1: What is the internal codename of Fathom Labs? Step 2: The organization holding internal codename from Step 1 is affiliated with a partner organization. What is the internal codename of that partner organization? Step 3: The organization holding internal codename from Step 2 is affiliated with a partner organization. What is the external auditor of that partner organization? Provide the final answer for Step 3.,Mica-4536,,doc-0107,,Model failure: litellm.RateLimitError: RateLimitError: OpenAIException - Too Many Requests,,,
s-0094,T2,FAIL,step_cap,12,Step 1: What is the internal codename of Marrow Works? Step 2: The organization holding internal codename from Step 1 is affiliated with a partner organization. What is the external auditor of that partner organization? Step 3: The organization holding external auditor from Step 2 is affiliated with a partner organization. What is the external auditor of that partner organization? Provide the final answer for Step 3.,Rune-4541,,doc-0108,,Step cap reached,,,
s-0095,T2,FAIL,step_cap,12,Step 1: Which firm is the external auditor of Tamarisk Systems? Step 2: The organization holding external auditor from Step 1 is affiliated with a partner organization. What is the flagship product of that partner organization? Step 3: The organization holding flagship product from Step 2 is affiliated with a partner organization. What is the archival reference of that partner organization? Provide the final answer for Step 3.,Lumen-4560,,doc-0112,,Step cap reached,,,
s-0096,T2,FAIL,model_failure,9,Step 1: What is the internal codename of Ironwood Foundry? Step 2: The organization holding internal codename from Step 1 is affiliated with a partner organization. What is the headquarters district of that partner organization? Step 3: The organization holding headquarters district from Step 2 is affiliated with a partner organization. What is the external auditor of that partner organization? Provide the final answer for Step 3.,Wisp-4571,,doc-0114,,Model failure: litellm.RateLimitError: RateLimitError: OpenAIException - Too Many Requests,,,
s-0097,T2,FAIL,step_cap,12,Step 1: In which district is Fathom Union headquartered? Step 2: The organization holding headquarters district from Step 1 is affiliated with a partner organization. What is the headquarters district of that partner organization? Step 3: The organization holding headquarters district from Step 2 is affiliated with a partner organization. What is the internal codename of that partner organization? Provide the final answer for Step 3.,Prism-4589,,doc-0117,,Step cap reached,,,
s-0098,T2,FAIL,step_cap,12,Step 1: Which firm is the external auditor of Lodestar Labs? Step 2: The organization holding external auditor from Step 1 is affiliated with a partner organization. What is the archival reference of that partner organization? Step 3: The organization holding archival reference from Step 2 is affiliated with a partner organization. What is the flagship product of that partner organization? Provide the final answer for Step 3.,Nyx-4612,,doc-0122,,Step cap reached,,,
s-0099,T2,FAIL,model_failure,3,Step 1: What is the archival reference of Borel Collective? Step 2: The organization holding archival reference from Step 1 is affiliated with a partner organization. What is the internal codename of that partner organization? Step 3: The organization holding internal codename from Step 2 is affiliated with a partner organization. What is the archival reference of that partner organization? Provide the final answer for Step 3.,Quartz-4615,,doc-0123,,Model failure: litellm.RateLimitError: RateLimitError: OpenAIException - Too Many Requests,,,
s-0100,T2,FAIL,model_failure,2,Step 1: Which firm is the external auditor of Juniper Works? Step 2: The organization holding external auditor from Step 1 is affiliated with a partner organization. What is the flagship product of that partner organization? Step 3: The organization holding flagship product from Step 2 is affiliated with a partner organization. What is the archival reference of that partner organization? Provide the final answer for Step 3.,Lumen-4635,,doc-0127,,Model failure: litellm.RateLimitError: RateLimitError: OpenAIException - Too Many Requests,,,
s-0101,T2,FAIL,model_failure,2,Step 1: In which district is Xebec Union headquartered? Step 2: The organization holding headquarters district from Step 1 is affiliated with a partner organization. What is the external auditor of that partner organization? Step 3: The organization holding external auditor from Step 2 is affiliated with a partner organization. What is the headquarters district of that partner organization? Provide the final answer for Step 3.,Yolk-4648,,doc-0129,,Model failure: litellm.RateLimitError: RateLimitError: OpenAIException - Too Many Requests,,,
s-0102,T2,FAIL,model_failure,1,Step 1: What is the flagship product of Kestrel Union? Step 2: The organization holding flagship product from Step 1 is affiliated with a partner organization. What is the flagship product of that partner organization? Step 3: The organization holding flagship product from Step 2 is affiliated with a partner organization. What is the external auditor of that partner organization? Provide the final answer for Step 3.,Mica-4661,,doc-0132,,Model failure: litellm.RateLimitError: RateLimitError: OpenAIException - Too Many Requests,,,
s-0103,T2,FAIL,step_cap,12,Step 1: In which district is Juniper Foundry headquartered? Step 2: The organization holding headquarters district from Step 1 is affiliated with a partner organization. What is the archival reference of that partner organization? Step 3: The organization holding archival reference from Step 2 is affiliated with a partner organization. What is the external auditor of that partner organization? Provide the final answer for Step 3.,Mica-4686,,doc-0137,,Step cap reached,,,
s-0104,T2,FAIL,model_failure,12,Step 1: Which firm is the external auditor of Yarrow Collective? Step 2: The organization holding external auditor from Step 1 is affiliated with a partner organization. What is the external auditor of that partner organization? Step 3: The organization holding external auditor from Step 2 is affiliated with a partner organization. What is the headquarters district of that partner organization? Provide the final answer for Step 3.,Talc-4693,,doc-0138,,Model failure: litellm.RateLimitError: RateLimitError: OpenAIException - Too Many Requests,,,
s-0105,T2,FAIL,model_failure,12,Step 1: Which firm is the external auditor of Yarrow Systems? Step 2: The organization holding external auditor from Step 1 is affiliated with a partner organization. What is the external auditor of that partner organization? Step 3: The organization holding external auditor from Step 2 is affiliated with a partner organization. What is the internal codename of that partner organization? Provide the final answer for Step 3.,Prism-4714,,doc-0142,,Model failure: litellm.RateLimitError: RateLimitError: OpenAIException - Too Many Requests,,,
s-0106,T2,FAIL,model_failure,12,Step 1: What is the internal codename of Aster Foundry? Step 2: The organization holding internal codename from Step 1 is affiliated with a partner organization. What is the flagship product of that partner organization? Step 3: The organization holding flagship product from Step 2 is affiliated with a partner organization. What is the archival reference of that partner organization? Provide the final answer for Step 3.,Vellum-4720,,doc-0144,,Model failure: litellm.RateLimitError: RateLimitError: OpenAIException - Too Many Requests,,,
s-0107,T2,PASS,answered,10,Step 1: Which firm is the external auditor of Juniper Labs? Step 2: The organization holding external auditor from Step 1 is affiliated with a partner organization. What is the external auditor of that partner organization? Step 3: The organization holding external auditor from Step 2 is affiliated with a partner organization. What is the archival reference of that partner organization? Provide the final answer for Step 3.,Lumen-4735,Lumen-4735,doc-0147,doc-0147,,,,
s-0108,T2,FAIL,model_failure,6,Step 1: What is the internal codename of Umbra Labs? Step 2: The organization holding internal codename from Step 1 is affiliated with a partner organization. What is the flagship product of that partner organization? Step 3: The organization holding flagship product from Step 2 is affiliated with a partner organization. What is the internal codename of that partner organization? Provide the final answer for Step 3.,Ultra-4019,,doc-0003,,Model failure: litellm.RateLimitError: RateLimitError: OpenAIException - Too Many Requests,,,
s-0109,T2,FAIL,model_failure,1,Step 1: What is the archival reference of Ironwood Works? Step 2: The organization holding archival reference from Step 1 is affiliated with a partner organization. What is the internal codename of that partner organization? Step 3: The organization holding internal codename from Step 2 is affiliated with a partner organization. What is the flagship product of that partner organization? Provide the final answer for Step 3.,Xeno-4022,,doc-0004,,Model failure: litellm.RateLimitError: RateLimitError: OpenAIException - Too Many Requests,,,
